# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 1447660270
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.892405
# Diagonal elements of inverse mass matrix:
# 0.459111
-6.9764,0.998068,0.892405,1,1,0,0.172467
-6.77053,0.995557,0.892405,2,3,0,0.224127
-6.80332,0.980996,0.892405,2,3,0,0.293019
-7.9665,0.628141,0.892405,2,3,0,0.0947011
-7.75293,1,0.892405,1,1,0,0.10537
-7.63789,1,0.892405,1,1,0,0.111936
-7.31135,0.864283,0.892405,2,3,0,0.395274
-7.31135,0.693421,0.892405,1,1,0,0.395274
-6.772,0.963791,0.892405,2,3,0,0.223312
-6.82525,0.990787,0.892405,2,3,0,0.203144
-6.75262,0.993725,0.892405,2,3,0,0.262107
-6.74839,0.960635,0.892405,2,3,0,0.253398
-6.83555,0.977589,0.892405,2,3,0,0.200282
-6.91676,0.955086,0.892405,2,3,0,0.32683
-6.87879,0.816788,0.892405,2,3,0,0.189976
-6.84325,0.959962,0.892405,3,7,0,0.307001
-6.80682,1,0.892405,2,3,0,0.294404
-6.81155,0.971512,0.892405,2,3,0,0.207302
-6.7565,0.999199,0.892405,2,3,0,0.23396
-8.19835,0.690721,0.892405,2,3,0,0.0848606
-8.57793,0.990048,0.892405,2,3,0,0.0716213
-6.76418,0.961373,0.892405,2,3,0,0.227992
-6.96497,0.965562,0.892405,2,3,0,0.174249
-6.80616,0.972881,0.892405,2,3,0,0.294145
-6.77085,0.966011,0.892405,2,3,0,0.223945
-6.79795,0.994088,0.892405,2,3,0,0.211952
-7.04966,0.885326,0.892405,2,3,0,0.162187
-6.76922,0.97684,0.892405,2,3,0,0.276305
-6.7666,0.996903,0.892405,2,3,0,0.274595
-6.77086,0.999067,0.892405,1,1,0,0.277327
-6.7534,1,0.892405,3,7,0,0.237193
-6.94224,0.917264,0.892405,2,3,0,0.177968
-6.75883,0.98544,0.892405,2,3,0,0.268673
-8.38253,0.793281,0.892405,3,7,0,0.0780524
-7.06359,0.848185,0.892405,3,7,0,0.160417
-7.25662,0.973065,0.892405,1,1,0,0.13992
-7.41734,0.979744,0.892405,1,1,0,0.126681
-6.75294,0.96781,0.892405,3,7,0,0.262535
-6.94759,0.96263,0.892405,2,3,0,0.333903
-7.11221,0.853107,0.892405,2,3,0,0.154604
-7.05752,1,0.892405,1,1,0,0.161181
-7.01958,0.920337,0.892405,2,3,0,0.348679
-6.80744,0.977572,0.892405,2,3,0,0.294646
-6.75534,0.992675,0.892405,2,3,0,0.235087
-7.32792,0.940075,0.892405,2,3,0,0.397531
-6.82621,1,0.892405,2,3,0,0.202868
-7.4393,0.932693,0.892405,2,3,0,0.125059
-7.33431,1,0.892405,1,1,0,0.133194
-7.08532,1,0.892405,1,1,0,0.157751
-7.40354,0.95724,0.892405,1,1,0,0.127721
